x,y,d,s,T
0.00294592,-0.00143319,-1.00000000,0.29349269,0.00000000
0.00295052,-0.00145779,-1.00000000,0.29349269,0.00000000
0.00295497,-0.00148243,-1.00000000,0.29614873,0.00000000
0.00295918,-0.00150710,-1.00000000,0.29880477,0.00000000
0.00296317,-0.00153181,-1.00000000,0.29880477,0.00000000
0.00296701,-0.00155655,-1.00000000,0.30146082,0.00000000
0.00297059,-0.00158132,-1.00000000,0.30411686,0.00000000
0.00297395,-0.00160613,-1.00000000,0.30411686,0.00000000
0.00297717,-0.00163095,-1.00000000,0.30677290,0.00000000
0.00298015,-0.00165581,-1.00000000,0.30942894,0.00000000
0.00298289,-0.00168069,-1.00000000,0.30942894,0.00000000
0.00298547,-0.00170559,-1.00000000,0.31208499,0.00000000
0.00298782,-0.00173051,-1.00000000,0.31474103,0.00000000
0.00298994,-0.00175545,-1.00000000,0.31474103,0.00000000
0.00299192,-0.00178040,-1.00000000,0.31739707,0.00000000
0.00299363,-0.00180538,-1.00000000,0.32005312,0.00000000
0.00299512,-0.00183037,-1.00000000,0.32005312,0.00000000
0.00299646,-0.00185536,-1.00000000,0.32270916,0.00000000
0.00299757,-0.00188037,-1.00000000,0.32536521,0.00000000
0.00299844,-0.00190539,-1.00000000,0.32536521,0.00000000
0.00299915,-0.00193041,-1.00000000,0.32802125,0.00000000
0.00299962,-0.00195544,-1.00000000,0.33067729,0.00000000
0.00299987,-0.00198047,-1.00000000,0.33333334,0.00000000
0.00299996,-0.00200550,-1.00000000,0.33333334,0.00000000
0.00299979,-0.00203053,-1.00000000,0.33598939,0.00000000
0.00299941,-0.00205556,-1.00000000,0.33598939,0.00000000
0.00299887,-0.00208059,-1.00000000,0.33864543,0.00000000
0.00299810,-0.00210561,-1.00000000,0.34130147,0.00000000
0.00299709,-0.00213062,-1.00000000,0.34130147,0.00000000
0.00299591,-0.00215562,-1.00000000,0.34395752,0.00000000
0.00299450,-0.00218061,-1.00000000,0.34661356,0.00000000
0.00299287,-0.00220559,-1.00000000,0.34661356,0.00000000
0.00299109,-0.00223056,-1.00000000,0.34926960,0.00000000
0.00298905,-0.00225551,-1.00000000,0.35192565,0.00000000
0.00298679,-0.00228044,-1.00000000,0.35192565,0.00000000
0.00298437,-0.00230535,-1.00000000,0.35458169,0.00000000
0.00298172,-0.00233025,-1.00000000,0.35723773,0.00000000
0.00297884,-0.00235511,-1.00000000,0.35723773,0.00000000
0.00297580,-0.00237996,-1.00000000,0.35989378,0.00000000
0.00297251,-0.00240477,-1.00000000,0.36254982,0.00000000
0.00296901,-0.00242956,-1.00000000,0.36254982,0.00000000
0.00296536,-0.00245432,-1.00000000,0.36520586,0.00000000
0.00296145,-0.00247905,-1.00000000,0.36786190,0.00000000
0.00295733,-0.00250374,-1.00000000,0.36786190,0.00000000
0.00295305,-0.00252840,-1.00000000,0.37051794,0.00000000
0.00294854,-0.00255303,-1.00000000,0.37317399,0.00000000
0.00294380,-0.00257760,-1.00000000,0.37317399,0.00000000
0.00293890,-0.00260215,-1.00000000,0.37583003,0.00000000
0.00293376,-0.00262665,-1.00000000,0.37848607,0.00000000
0.00292842,-0.00265111,-1.00000000,0.37848607,0.00000000
0.00292291,-0.00267552,-1.00000000,0.38114211,0.00000000
0.00291716,-0.00269989,-1.00000000,0.38379815,0.00000000
0.00291120,-0.00272420,-1.00000000,0.38379815,0.00000000
0.00290508,-0.00274847,-1.00000000,0.38645419,0.00000000
0.00289874,-0.00277269,-1.00000000,0.38911024,0.00000000
0.00289216,-0.00279684,-1.00000000,0.38911024,0.00000000
0.00288544,-0.00282095,-1.00000000,0.39176628,0.00000000
0.00287848,-0.00284500,-1.00000000,0.39442232,0.00000000
0.00287131,-0.00286898,-1.00000000,0.39442232,0.00000000
0.00286399,-0.00289292,-1.00000000,0.39707836,0.00000000
0.00285643,-0.00291678,-1.00000000,0.39973440,0.00000000
0.00284866,-0.00294058,-1.00000000,0.39973440,0.00000000
0.00284074,-0.00296432,-1.00000000,0.40239044,0.00000000
0.00283259,-0.00298799,-1.00000000,0.40504648,0.00000000
0.00282423,-0.00301158,-1.00000000,0.40504648,0.00000000
0.00281572,-0.00303513,-1.00000000,0.40770252,0.00000000
0.00280697,-0.00305858,-1.00000000,0.41035857,0.00000000
